ID,name,description,level,unlockScore,unlockCondition,cost,function,functionValue,restaurantScore,unlock
T401,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,400,T400,60000,eatingTime,0.02,60,0
T402,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,500,T401,120000,eatingTime,0.04,120,0
T403,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,600,T402,150000,eatingTime,0.07,150,0
T404,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,700,T403,180000,eatingTime,0.1,180,0
T405,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,800,T404,210000,eatingTime,0.12,210,0
T406,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,900,T405,240000,eatingTime,0.16,240,0
T407,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,1000,T406,270000,eatingTime,0.2,270,0
T408,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,1100,T407,300000,eatingTime,0.24,300,0
T409,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1200,T408,330000,eatingTime,0.26,330,0
T500,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,400,Default,35000,eatingTime,0,35,0
T501,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,500,T500,70000,eatingTime,0.02,70,0
T502,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,600,T501,140000,eatingTime,0.04,140,0
T503,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,700,T502,175000,eatingTime,0.07,175,0
T504,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,800,T503,210000,eatingTime,0.1,210,0
T505,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,900,T504,245000,eatingTime,0.12,245,0
T506,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,1000,T505,280000,eatingTime,0.16,280,0
T507,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,1100,T506,315000,eatingTime,0.2,315,0
T508,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,1200,T507,350000,eatingTime,0.24,350,0
T509,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1300,T508,385000,eatingTime,0.26,385,0
T600,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,500,Default,40000,eatingTime,0,40,0
T601,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,600,T600,80000,eatingTime,0.02,80,0
T602,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,700,T601,160000,eatingTime,0.04,160,0
T603,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,800,T602,200000,eatingTime,0.07,200,0
T604,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,900,T603,240000,eatingTime,0.1,240,0
T605,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,1000,T604,280000,eatingTime,0.12,280,0
T606,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,1100,T605,320000,eatingTime,0.16,320,0
T607,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,1200,T606,360000,eatingTime,0.2,360,0
T608,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,1300,T607,400000,eatingTime,0.24,400,0
T609,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1400,T608,440000,eatingTime,0.26,440,0
T700,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,600,Default,45000,eatingTime,0,45,0
T701,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,700,T700,90000,eatingTime,0.02,90,0
T702,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,800,T701,180000,eatingTime,0.04,180,0
T703,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,900,T702,225000,eatingTime,0.07,225,0
T704,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,1000,T703,270000,eatingTime,0.1,270,0
T705,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,1100,T704,315000,eatingTime,0.12,315,0
T706,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,1200,T705,360000,eatingTime,0.16,360,0
T707,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,1300,T706,405000,eatingTime,0.2,405,0
T708,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,1400,T707,450000,eatingTime,0.24,450,0
T709,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1500,T708,495000,eatingTime,0.26,495,0
T800,허름한 나무 상,가장 기본적이고 저렴한 나무 판자로 만들어진 상.,1,700,NULL,50000,eatingTime,0,50,0
T801,대나무 매트 상,나무 위에 대나무 매트를 얹어 조금 더 깔끔한 느낌을 주는 상.,2,800,T800,100000,eatingTime,0.02,100,0
T802,손질한 나무 상,기본 나무 상이지만 조금 더 다듬고 모양을 낸 상.,3,900,T801,200000,eatingTime,0.04,200,0
T803,옻칠 나무 상,옻칠을 해서 보다 오래 쓸 수 있고 윤이 나는 상.,4,1000,T802,250000,eatingTime,0.07,250,0
T804,강화 나무 상,좀 더 튼튼하고 고급 목재로 만든 테이블.,5,1100,T803,300000,eatingTime,0.1,300,0
T805,고급 소나무 상,질 좋은 소나무로 제작된 단단하고 견고한 상.,6,1200,T804,350000,eatingTime,0.12,350,0
T806,자개 장식 상,테두리나 일부분에 자개로 장식한 고급 테이블.,7,1300,T805,400000,eatingTime,0.16,400,0
T807,청자 문양 상,상판에 청자 문양이 새겨져 있어 고급스러움을 더한 상.,8,1400,T806,450000,eatingTime,0.2,450,0
T808,금속 테두리 상,테두리나 다리 부분에 금속으로 장식된 상.,9,1500,T807,500000,eatingTime,0.24,500,0
T809,순금장 상,상의 일부분에 금장식이 들어간 가장 비싼 최고급 상.,10,1600,T808,550000,eatingTime,0.26,550,0
